consensus,function,placement,No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),simulation time(sec),total prepare time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs),average upload data(bytes),average download data(bytes)
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,5,-1.0,29.055105771934763,19.750146865844727,0.09875073432922363,3.4809112548828125e-05,0.0453125,0.02265625,0.0,0.033288002014160156,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10700,400,<-parameter / result->,4,-1.0,23.87534684470734,15.357849597930906,0.061431398391723624,3.361701965332031e-05,0.027187499999999996,0.013593749999999998,0.0,0.023413896560668945,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,23,0.9624881458282473,66.07903800943572,41.84731068818466,0.9624881458282473,0.0002040863037109375,0.3647656250000001,0.18238281250000005,0.0,0.42838287353515625,3735.2,533.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,4,-1.0,28.812228389933118,18.221573829650875,0.07288629531860351,3.075599670410156e-05,0.03625,0.018125,0.0,0.02114701271057129,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,7,-1.0,40.13406146530828,27.778501510620117,0.19444951057434082,5.221366882324219e-05,0.09515625,0.047578125,0.0,0.05547165870666504,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,5,-1.0,29.045683065011342,19.709615707397464,0.09854807853698731,3.9577484130859375e-05,0.0453125,0.02265625,0.0,0.03380179405212402,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,5,-1.0,35.64150887089339,23.614072799682617,0.1180703639984131,3.7670135498046875e-05,0.056640625,0.0283203125,0.0,0.0360112190246582,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,7,-1.0,40.31593298946555,27.797609056745255,0.1945832633972168,5.316734313964844e-05,0.09515625,0.047578125,0.0,0.05679917335510254,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,7,-1.0,40.20079491630436,27.916954585484095,0.19541868209838867,5.316734313964844e-05,0.09515625,0.047578125,0.0,0.05652427673339844,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,4,-1.0,24.6844537862142,16.057131290435787,0.06422852516174316,3.123283386230469e-05,0.027187499999999996,0.013593749999999998,0.0,0.026044845581054688,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,7,-1.0,40.41692255892391,27.798222133091517,0.19458755493164062,5.125999450683594e-05,0.09515625,0.047578125,0.0,0.05687069892883301,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10800,400,<-parameter / result->,7,-1.0,40.23959700232083,27.86967958722796,0.1950877571105957,5.245208740234375e-05,0.09515625,0.047578125,0.0,0.05635952949523926,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,35.2499808720454,23.399209976196293,0.11699604988098146,3.790855407714844e-05,0.056640625,0.0283203125,0.0,0.03545856475830078,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,29.81231716029257,20.014791488647464,0.10007395744323731,3.790855407714844e-05,0.0453125,0.02265625,0.0,0.0351254940032959,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,4,-1.0,24.502477925618496,15.671489238739012,0.06268595695495605,3.0279159545898438e-05,0.027187499999999996,0.013593749999999998,0.0,0.024608612060546875,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,29.465828937885558,19.86787796020508,0.0993393898010254,3.6716461181640625e-05,0.0453125,0.02265625,0.0,0.034587860107421875,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,34.774778568732735,23.10724258422852,0.11553621292114259,8.368492126464844e-05,0.056640625,0.0283203125,0.0,0.03420901298522949,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,7,-1.0,40.31539978585795,27.936607088361466,0.19555624961853027,5.984306335449219e-05,0.09515625,0.047578125,0.0,0.057684898376464844,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,4,-1.0,24.442217615977402,15.755233764648436,0.06302093505859374,2.9802322387695312e-05,0.027187499999999996,0.013593749999999998,0.0,0.026157140731811523,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,35.56153247634102,23.49948883056641,0.11749744415283205,3.790855407714844e-05,0.056640625,0.0283203125,0.0,0.03685569763183594,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,5,-1.0,35.08623580317973,23.15483093261719,0.11577415466308595,3.886222839355469e-05,0.056640625,0.0283203125,0.0,0.03428173065185547,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,10900,400,<-parameter / result->,4,-1.0,29.83616256953183,19.106225967407223,0.0764249038696289,3.218650817871094e-05,0.03625,0.018125,0.0,0.025545120239257812,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,29.843746559171812,20.212106704711914,0.10106053352355958,3.8623809814453125e-05,0.0453125,0.02265625,0.0,0.036013126373291016,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,4,-1.0,28.091044713946076,18.169240951538082,0.07267696380615234,2.9325485229492188e-05,0.03625,0.018125,0.0,0.020784854888916016,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,6,-1.0,36.91308748828187,25.37548065185547,0.1522528839111328,4.3392181396484375e-05,0.0815625,0.04078125,0.0,0.033265113830566406,835.2,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,4,-1.0,22.595017729491364,14.613029956817625,0.0584521198272705,2.8371810913085938e-05,0.027187499999999996,0.013593749999999998,0.0,0.019906282424926758,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,28.900646384144217,19.759349822998047,0.09879674911499023,4.7206878662109375e-05,0.0453125,0.02265625,0.0,0.03459668159484863,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,34.80767437432824,23.02522659301758,0.1151261329650879,3.9577484130859375e-05,0.056640625,0.0283203125,0.0,0.032891035079956055,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,4,-1.0,23.5696017357611,15.32107353210449,0.06128429412841796,3.0279159545898438e-05,0.027187499999999996,0.013593749999999998,0.0,0.024794340133666992,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,29.597472111597128,20.068674087524418,0.10034337043762208,4.124641418457031e-05,0.0453125,0.02265625,0.0,0.03558015823364258,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,29.367505330642704,19.74223136901856,0.09871115684509278,3.814697265625e-05,0.0453125,0.02265625,0.0,0.03379201889038086,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11000,400,<-parameter / result->,5,-1.0,34.586570533156795,23.03862571716309,0.11519312858581544,6.246566772460938e-05,0.056640625,0.0283203125,0.0,0.03365731239318848,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,5,-1.0,28.658508227698803,19.66083526611328,0.09830417633056641,3.743171691894531e-05,0.0453125,0.02265625,0.0,0.033104896545410156,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,8,-1.0,40.553563216947,28.63281488418579,0.22906251907348632,6.127357482910156e-05,0.10875,0.054375,0.0,0.07050824165344238,1113.6,185.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,4,-1.0,24.56319944210607,15.846488475799559,0.06338595390319823,3.0994415283203125e-05,0.027187499999999996,0.013593749999999998,0.0,0.025135040283203125,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,6,-1.0,34.25093095202556,23.823873202006023,0.14294323921203614,4.4345855712890625e-05,0.06796875,0.033984375,0.0,0.044046640396118164,696.0,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,5,-1.0,29.413503767789393,19.77499008178711,0.09887495040893556,9.298324584960938e-05,0.0453125,0.02265625,0.0,0.03390073776245117,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,5,-1.0,29.095982578351727,19.69078063964844,0.0984539031982422,3.695487976074219e-05,0.0453125,0.02265625,0.0,0.03328251838684082,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,5,-1.0,29.238926263857355,19.84827995300293,0.09924139976501464,3.6716461181640625e-05,0.0453125,0.02265625,0.0,0.03443312644958496,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,6,-1.0,34.65073768526093,23.86921246846517,0.14321527481079102,4.7206878662109375e-05,0.06796875,0.033984375,0.0,0.044396400451660156,696.0,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,8,-1.0,40.538252272402545,28.77869725227356,0.23022957801818847,6.365776062011719e-05,0.10875,0.054375,0.0,0.07184743881225586,1113.6,185.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11100,400,<-parameter / result->,9,-1.0,40.902553727748696,29.393125110202366,0.2645381259918213,9.918212890625e-05,0.12234375,0.061171875,0.0,0.08704042434692383,1252.8,208.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,27.648124839502973,18.11649084091186,0.07246596336364745,2.9087066650390625e-05,0.03625,0.018125,0.0,0.020603179931640625,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,22.565421024470734,14.53822612762451,0.05815290451049804,4.315376281738281e-05,0.027187499999999996,0.013593749999999998,0.0,0.019608020782470703,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,5,-1.0,33.130233794723694,22.097778320312504,0.11048889160156251,3.719329833984375e-05,0.056640625,0.0283203125,0.0,0.02947711944580078,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,27.50984319091293,18.088119029998776,0.07235247611999511,2.8848648071289062e-05,0.03625,0.018125,0.0,0.021111249923706055,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,7,-1.0,37.68735084978878,26.486170632498606,0.18540319442749023,5.0067901611328125e-05,0.09515625,0.047578125,0.0,0.04635906219482422,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,27.8705186369138,18.225746154785153,0.07290298461914062,2.956390380859375e-05,0.03625,0.018125,0.0,0.020846843719482422,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,27.561505840282223,17.827467918395993,0.07130987167358398,3.600120544433594e-05,0.03625,0.018125,0.0,0.019370079040527344,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,27.624966991166353,18.102126121520993,0.07240850448608398,2.765655517578125e-05,0.03625,0.018125,0.0,0.020334959030151367,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,5,-1.0,31.935992059766424,21.72956466674805,0.10864782333374025,3.5762786865234375e-05,0.056640625,0.0283203125,0.0,0.026500940322875977,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11200,400,<-parameter / result->,4,-1.0,28.008811683196903,18.18205595016479,0.07272822380065917,2.9802322387695312e-05,0.03625,0.018125,0.0,0.020747661590576172,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,4,-1.0,28.168109087537864,18.091099262237545,0.07236439704895019,3.0040740966796875e-05,0.03625,0.018125,0.0,0.020436525344848633,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,7,-1.0,37.47197327043847,26.355244772774835,0.18448671340942382,5.173683166503906e-05,0.09515625,0.047578125,0.0,0.045497894287109375,974.4,162.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,4,-1.0,22.93643369469592,14.989612102508543,0.05995844841003417,2.9087066650390625e-05,0.027187499999999996,0.013593749999999998,0.0,0.02147388458251953,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,5,-1.0,33.23964071200713,21.964740753173828,0.10982370376586914,3.5762786865234375e-05,0.056640625,0.0283203125,0.0,0.027520179748535156,580.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,4,-1.0,21.24389929699473,13.979551792144774,0.05591820716857909,2.86102294921875e-05,0.027187499999999996,0.013593749999999998,0.0,0.017395496368408203,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,4,-1.0,27.702810839476204,18.031375408172604,0.07212550163269042,2.9087066650390625e-05,0.03625,0.018125,0.0,0.020003795623779297,371.2,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,21,0.8435139083862306,63.61202948774554,40.167328970772886,0.8435139083862306,0.00019741058349609375,0.3330468750000001,0.16652343750000004,0.0,0.356137752532959,3410.4,487.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,8,-1.0,39.96129246283874,28.329665660858154,0.22663732528686523,7.796287536621094e-05,0.10875,0.054375,0.0,0.06853199005126953,1113.6,185.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,4,-1.0,24.534981560926415,15.73371648788452,0.06293486595153808,2.9802322387695312e-05,0.027187499999999996,0.013593749999999998,0.0,0.025382518768310547,278.4,92.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11300,400,<-parameter / result->,8,-1.0,39.52087446672814,28.25474262237549,0.2260379409790039,6.008148193359375e-05,0.10875,0.054375,0.0,0.06691694259643555,1113.6,185.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,5,-1.0,29.486119276915737,19.77322578430176,0.0988661289215088,3.790855407714844e-05,0.0453125,0.02265625,0.0,0.0337674617767334,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,6,-1.0,35.12187055120739,23.96549383799235,0.1437929630279541,4.553794860839844e-05,0.06796875,0.033984375,0.0,0.04492449760437012,696.0,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,6,-1.0,35.01985514000679,23.982381820678714,0.14389429092407227,4.601478576660156e-05,0.06796875,0.033984375,0.0,0.046329498291015625,696.0,139.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,5,-1.0,29.249819902663518,19.684724807739258,0.09842362403869628,3.743171691894531e-05,0.0453125,0.02265625,0.0,0.03340911865234375,464.0,116.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,16,0.6647396659851076,74.17470846325175,41.54622912406922,0.6647396659851076,0.00012993812561035156,0.29,0.145,0.0,0.2398090362548828,2969.6,371.2
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,11400,400,<-parameter / result->,9,-1.0,39.683523676248846,28.940103318956165,0.2604609298706055,9.34600830078125e-05,0.12234375,0.061171875,0.0,0.0823819637298584,1252.8,208.8
