No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.021532118320465 , elapsed time(secs): 181.2919270992279
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.9198636293411253 , elapsed time(secs): 175.19181776046753
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.7063169916470846 , elapsed time(secs): 162.37901949882507
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.1140013456344606 , elapsed time(secs): 186.84008073806763
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.8256379842758177 , elapsed time(secs): 169.53827905654907
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 3.3621465444564818 , elapsed time(secs): 201.72879266738892
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.968239506085714 , elapsed time(secs): 178.09437036514282
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.761932384967804 , elapsed time(secs): 165.71594309806824
No. user: 15, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 60 , average tx time(secs): 2.7230907797813417 , elapsed time(secs): 163.3854467868805
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.109114643931389 , elapsed time(secs): 248.7291715145111
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.9870941609144213 , elapsed time(secs): 238.9675328731537
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.116304096579552 , elapsed time(secs): 249.30432772636414
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.660356283187866 , elapsed time(secs): 212.8285026550293
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.2184416472911836 , elapsed time(secs): 257.4753317832947
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.038868170976639 , elapsed time(secs): 243.1094536781311
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.0183994501829146 , elapsed time(secs): 241.47195601463318
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.4791221588850023 , elapsed time(secs): 278.32977271080017
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.1419180989265443 , elapsed time(secs): 251.35344791412354
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.0437671691179276 , elapsed time(secs): 243.5013735294342
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.266323509812355 , elapsed time(secs): 261.3058807849884
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.0765276312828065 , elapsed time(secs): 246.1222105026245
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.7167130410671234 , elapsed time(secs): 217.33704328536987
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.2840542435646056 , elapsed time(secs): 262.72433948516846
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.900652939081192 , elapsed time(secs): 232.05223512649536
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.1571916967630385 , elapsed time(secs): 252.5753357410431
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.383786231279373 , elapsed time(secs): 270.70289850234985
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 3.132132664322853 , elapsed time(secs): 250.57061314582825
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.9775184810161592 , elapsed time(secs): 238.20147848129272
No. user: 20, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 80 , average tx time(secs): 2.9223987966775895 , elapsed time(secs): 233.79190373420715
