No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),average uploadtime(ms),average downloadtime(ms),simulation time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs)
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,5,-1.0,1326.3262778616868,650.4106616973877,433.35937500000006,216.67968750000003,3.2520533084869387,2.166796875,1.0833984375,0.0,0.005190134048461914
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,130,300,<-parameter / result->,6,-1.0,2287.9345021473614,1252.492348353068,834.716796875,417.3583984375,7.514954090118408,5.00830078125,2.504150390625,0.0,0.008043527603149414
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,10,-1.0,2718.7635445794076,1587.9961061477659,1058.37890625,529.189453125,15.879961061477658,10.5837890625,5.29189453125,0.0,0.015268564224243164
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,7,-1.0,2214.3363744671847,1256.6614355359757,837.4930245535716,418.7465122767858,8.79663004875183,5.8624511718750005,2.9312255859375003,0.0,0.009446382522583008
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,6,-1.0,1742.1312920941064,935.9266153971353,623.6848958333333,311.84244791666663,5.615559692382812,3.742109375,1.8710546875,0.0,0.007021665573120117
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,6,-1.0,1743.3221118562092,931.2614965438844,620.5533854166666,310.2766927083333,5.587568979263306,3.7233203125,1.86166015625,0.0,0.007906913757324219
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,6,-1.0,1740.338914764559,928.4268538157146,618.6848958333334,309.3424479166667,5.570561122894287,3.7121093750000003,1.8560546875000001,0.0,0.007131338119506836
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,5,-1.0,1319.6323233131043,668.5743179321288,445.45312499999994,222.72656249999997,3.3428715896606445,2.227265625,1.1136328125,0.0,0.0054874420166015625
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,7,-1.0,2235.6672468926167,1258.4156376974925,838.6648995535714,419.3324497767857,8.808909463882447,5.870654296875,2.9353271484375,0.0,0.00941920280456543
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,10,-1.0,2721.64998462676,1591.123161315918,1060.4589843749998,530.2294921874999,15.911231613159181,10.604589843749999,5.302294921874999,0.0,0.01536417007446289
